"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count";"id"
"CBHLands/777676339027439_3891834530944922";"13503";"12158";"1";"777676339027439_3891834530944922";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-18T08:03:45+0000";"2021-07-18T08:03:50+0000";"Do you set reminders? . . . #todo #reminder #dailyreminder #learn #investing #invest #money #cbhlands #staysafe #safe #future #protect #srilanka #realestate ##property";"";"0";"6";"6";"0";"0";"0";"0";"0";"777676339027439_3891834530944922"
"CBHLands/777676339027439_3891834530944922/777676339027439_3891834530944922";"13780";"13503";"2";"777676339027439_3891834530944922";"empty";"";"fetched (200)";"2022-08-01 22:57:31.751132";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3891834530944922/777676339027439_3891834530944922";"14169";"13503";"2";"777676339027439_3891834530944922";"empty";"";"fetched (200)";"2022-08-01 23:01:00.133801";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3891827584278950";"13504";"12158";"1";"777676339027439_3891827584278950";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-17T07:59:40+0000";"2021-07-17T07:59:43+0000";"We are definitely waiting impatiently to do this! Are you? . . . #cbhlands #kurunegala #srilanka #expressway #centralexpressway #highway #drive #letsgo";"";"0";"6";"6";"0";"0";"0";"0";"0";"777676339027439_3891827584278950"
"CBHLands/777676339027439_3891827584278950/777676339027439_3891827584278950";"13781";"13504";"2";"777676339027439_3891827584278950";"empty";"";"fetched (200)";"2022-08-01 22:57:32.183685";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3891827584278950/777676339027439_3891827584278950";"14170";"13504";"2";"777676339027439_3891827584278950";"empty";"";"fetched (200)";"2022-08-01 23:01:00.564880";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3891822997612742";"13505";"12158";"1";"777676339027439_3891822997612742";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-16T09:57:45+0000";"2021-07-16T09:57:49+0000";"Beautiful Kurunegala. . . . #cbhlands #kurunegala #srilanka #beautiful #places #ThingsToDo #site";"";"0";"9";"9";"0";"0";"0";"0";"0";"777676339027439_3891822997612742"
"CBHLands/777676339027439_3891822997612742/777676339027439_3891822997612742";"13782";"13505";"2";"777676339027439_3891822997612742";"empty";"";"fetched (200)";"2022-08-01 22:57:32.691411";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3891822997612742/777676339027439_3891822997612742";"14171";"13505";"2";"777676339027439_3891822997612742";"empty";"";"fetched (200)";"2022-08-01 23:01:00.976749";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3900175873444121";"13506";"12158";"1";"777676339027439_3900175873444121";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-16T09:34:59+0000";"2021-07-16T09:34:59+0000";"";"26";"0";"10";"10";"0";"0";"0";"0";"0";"777676339027439_3900175873444121"
"CBHLands/777676339027439_3900175873444121/777676339027439_3900175873444121";"13783";"13506";"2";"777676339027439_3900175873444121";"empty";"";"fetched (200)";"2022-08-01 22:57:33.200624";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3900175873444121/189802867746890_4208671892526614";"14172";"13506";"2";"189802867746890_4208671892526614";"data";"data.*";"fetched (200)";"2022-08-01 23:01:01.369610";"Facebook:/<post-id>/sharedposts";"";"";"2021-07-17T06:05:29+0000";"";"ඉඩම් මිලදී ගැනීමේදී අත්තිකාරම ට අත්වැලක්!";"";"";"";"";"";"";"";"";"";"189802867746890_4208671892526614"
"CBHLands/777676339027439_3900175873444121/777676339027439_3900175873444121";"14173";"13506";"2";"777676339027439_3900175873444121";"offcut";"";"fetched (200)";"2022-08-01 23:01:01.369610";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3891710460957329";"13507";"12158";"1";"777676339027439_3891710460957329";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-15T08:56:32+0000";"2021-07-15T08:56:37+0000";"This is the map of Central Expressway, Kurunegala. . . . #centralexpressway #kurunegala #highway #srilanka #cbhlands #ceylonbrandhouse #invest #landsale #investinland #investing #money #realestate #property #kurunegalarealestate #k#kurunegalaproperty";"";"0";"3";"3";"0";"0";"0";"0";"0";"777676339027439_3891710460957329"
"CBHLands/777676339027439_3891710460957329/777676339027439_3891710460957329";"13784";"13507";"2";"777676339027439_3891710460957329";"empty";"";"fetched (200)";"2022-08-01 22:57:33.631181";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3891710460957329/777676339027439_3891710460957329";"14174";"13507";"2";"777676339027439_3891710460957329";"empty";"";"fetched (200)";"2022-08-01 23:01:02.248593";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3878063012322074";"13508";"12158";"1";"777676339027439_3878063012322074";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-14T07:24:45+0000";"2021-07-14T07:24:49+0000";"Home is where the heart is... . . . . #home #heart #love #story #cbhlands #kurunegala #realestate #srilanka #landsale #realestatekurunegala #kurunegalaproperty #journey #invest #wealth #m#money";"";"0";"4";"4";"0";"0";"0";"0";"0";"777676339027439_3878063012322074"
"CBHLands/777676339027439_3878063012322074/777676339027439_3878063012322074";"13785";"13508";"2";"777676339027439_3878063012322074";"empty";"";"fetched (200)";"2022-08-01 22:57:34.123477";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3878063012322074/777676339027439_3878063012322074";"14175";"13508";"2";"777676339027439_3878063012322074";"empty";"";"fetched (200)";"2022-08-01 23:01:02.660937";"Facebook:/<post-id>/sharedposts";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3850958655032510";"13509";"12158";"1";"777676339027439_3850958655032510";"data";"data.*";"fetched (200)";"2022-08-01 22:54:18.566029";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-07-13T08:40:43+0000";"2021-07-13T08:40:47+0000";"CBH Lands සමාගමෙන් විකිණෙන ඉඩම්:  1. සියළු රාජ්‍ය අනුමැති සහිතය්. 2. නිර්දේශයන්ට අනුකූලව ජලය සපයා දී ඇත. 3. ලංකා විදුලිබල මණ්ඩලයට අනුකූලව විදුලිය සපයා දී ඇත. 4. නිර්දේශයන්ට අනුකූලව මාර්ග, කණු පද්ධති සහ යටිතල පහසුකම් සකසා ඇත.  එම නිසා CBH Lands වෙතින්  ඔබට නිරවුල් ඔප්පු සහිත, අවශ්‍ය විටෙක බැංකු ණය සඳහා යොදා ගත හැකි ඉඩම් කොටසක් ලැබෙන බවට අප සහතික වන්නෙමු.  කුරුණෑගල  ප්‍රධාන මාර්ග 5ක් + අධිවේගී මාර්ග සහිත සංධිස්ථානයක්!  මීගමු පාර  කොළඹ පාර  දඹුල්ල පාර  පුත්තලම පාර  නුවර පාර  මධ්‍යම අධිවේගී මාර්ගය";"1";"1";"7";"7";"0";"0";"0";"0";"0";"777676339027439_3850958655032510"
"CBHLands/777676339027439_3850958655032510/777676339027439_3850958655032510";"13786";"13509";"2";"777676339027439_3850958655032510";"empty";"";"fetched (200)";"2022-08-01 22:57:34.635699";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
