"path";"id";"parent_id";"level";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"from.id";"from.name";"created_time";"updated_time";"message";"shares.count";"comments.summary.total_count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count"
"CBHLands/777676339027439_3747761685352208";"15065";"12158";"1";"777676339027439_3747761685352208";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-23T01:20:00+0000";"2021-05-23T01:20:02+0000";"CBH Lucky City Pellandeniya, Kurunegala  All government approvals obtained.� 15 perch blocks available.  If you wish to purchase through a bank loan, we will prepare all documents needed.� Bank loans:� BOC, Sampath Bank, NDB, PABC, Commercial Bank, Sarvodaya or any bank you currently work with.� For more information and conditions, please call the number below.  This land is situated extremely close to the ""Demataluwa Central College""  Details of the Central Highway: Central Expressway to be completed by 2021 . . . #cbhlands #pellandeniya #kurunegala #landsale #highway #bankloan #kurunegalarealestate  �";"1";"0";"14";"14";"0";"0";"0";"0";"0"
"CBHLands/777676339027439_3747761685352208/777676339027439_3747761685352208";"40670";"15065";"2";"777676339027439_3747761685352208";"empty";"";"fetched (200)";"2022-08-05 15:39:35.379420";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3747753932019650";"15066";"12158";"1";"777676339027439_3747753932019650";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-22T02:16:00+0000";"2021-05-22T02:16:03+0000";"Check our projects virtually from anywhere :)   CBH Central  Sandagala – Piduruwela,  Kurunegala   ‘Central’ by CBH Lands is a mixed development that comprises of 20 individual land plots, out of which 5 land plots face the main Kurunegala – Sadagala road being allocated for commercial purposes whilst the balance 15 lots face the 20 feet internal road for residential purposes.  The drive time to the nearest exit on the Central Expressway Stage II is less than 15 minutes, 5 minutes drive to the main Kurunegala – Negombo road and a 15 minute drive to the Kurunegala City.   The land is surrounded by coconut cultivations and beautiful paddy fields whilst the distance to the Kurunegala City is less than 8km and the present infrastructure development will see the expansion of the Kurunegala City to Sandagala. Therefore, the property prices will see an increase with greater emphasis for residential within the near future.   . . . #cbhlands #ceylonbrandhouse #sandagala #kurunegala #centralexpressway #property #cbhcentral";"";"0";"9";"8";"1";"0";"0";"0";"0"
"CBHLands/777676339027439_3747753932019650/777676339027439_3747753932019650";"40671";"15066";"2";"777676339027439_3747753932019650";"empty";"";"fetched (200)";"2022-08-05 15:39:35.981444";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3747748125353564";"15067";"12158";"1";"777676339027439_3747748125353564";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-21T04:52:10+0000";"2021-05-21T04:52:10+0000";"""Don't wait to buy real estate. Buy real estate and wait"" . . . . #kurunegala #realestate #landsale #srilanka #invest #DontWaitToBuyRealEstateBuyRealEstateAndWait";"1";"2";"22";"20";"2";"0";"0";"0";"0"
"CBHLands/777676339027439_3747748125353564/777676339027439_3747748125353564";"40672";"15067";"2";"777676339027439_3747748125353564";"empty";"";"fetched (200)";"2022-08-05 15:39:36.517938";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3745703125558064";"15068";"12158";"1";"777676339027439_3745703125558064";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-20T11:33:05+0000";"2021-07-12T06:47:52+0000";"විකුණුම් සහයක ඇබෑර්තු ( Sales Assistant) Kurunegala   CBH LANDS  පුද්ගලික සමාගම  කුරුණෑගල දිස්ත්‍රික්කයේ පිහිටි ප්‍රමුඛ පෙළේ ඉඩම් විකිණීමේ ආයතනයක් වන අප සමාගම සදහා වෙළඳ සේවකයින් අවශ්‍ය වේ. සුදුසුකම්  - පුහුණු / නුපුහුණු කුරුණෑගල අවටින් විශේෂයි .  මෙම රැකියාව  සදහා සුදුසුම පුද්ගලයා ඔබ නම් CV එක අප වෙත එවන්න.";"2";"0";"7";"7";"0";"0";"0";"0";"0"
"CBHLands/777676339027439_3745703125558064/777676339027439_3745703125558064";"40673";"15068";"2";"777676339027439_3745703125558064";"empty";"";"fetched (200)";"2022-08-05 15:39:37.310973";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3721921084602935";"15069";"12158";"1";"777676339027439_3721921084602935";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-19T01:59:00+0000";"2021-05-19T01:59:00+0000";"පැල්ලන්දෙණිය , කුරුණෑගල   �පර්චස් 15 බිම් කොටස්  සියලු රාජ්ය අනුමැති සහිතය් �කීනගස්පිටිය ප්‍රධාන කාපට් පාරට මිටර් 500 m කුරුණෑගල නගරයට 5 km කුරුණෑගල අධිවේගී මාර්ග පිවිසුමට 13 km  දම්බෝක්ක අධිවේගී මාර්ග පිවිසුමට 14 km  විදුලිය සහ ජලය සපයා දී ඇත.  දෙමටලුව මදය මහා විද්‍යාලට ඉතා ආසන්නයේ. පහසු ගෙවීමේ ක්‍රම සහිතය්.  මාස් පතා කල හැකි, පොළී රහිත 0% EASY PAYMENT SCHEME ඇත.�බැංකු ණය සඳහා අවශ්ය සියලු ලියකියවිලි ලබා දිය හැක.�සියලු විස්තර සහ කොන්දේසි සඳහා පහත සඳහන් නොම්මරයට අමතන්න. මෙම ඉඩම දෙමටලුව මහා විද්යාලයට ඉතා ආසන්නයේ පිහිටා ඇත. . . . #kurunegala #realestate #kurunegalalandsale #cbhlands #kurunegalarealestate #kurunegalaproperty";"";"1";"12";"11";"1";"0";"0";"0";"0"
"CBHLands/777676339027439_3721921084602935/777676339027439_3721921084602935";"40674";"15069";"2";"777676339027439_3721921084602935";"empty";"";"fetched (200)";"2022-08-05 15:39:38.234104";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3739367719524938";"15070";"12158";"1";"777676339027439_3739367719524938";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-18T05:30:06+0000";"2021-05-18T05:30:06+0000";"අපි පොඩි කාලේ ඉඩමක් කියන්නේ ආයෝජනයක් නෙමෙයි නේද? ඉඩම කියන්නේ අපි දුවන තැන, සෙල්ලම් කරන තැන, වැස්සේ තෙමෙන තැන...  සෙල්ලම් ගෙවල් හදලා, කෝම්පිට්ටු හදලා  හවස් වෙනකම් හිටියේ ගෙදර අතුලේ නෙමෙයි... වත්තේ.. මිදුලේ   ඉඩමක් ආයෝජනයක් විතරමද?  https://www.youtube.com/watch?v=fi5bMCtOWLI . . . #childhood #memory #play #mud #rain #nature #tree #children #child #happiness #life #cbhlands #realestate #land #property #srilanka";"4";"0";"52";"48";"4";"0";"0";"0";"0"
"CBHLands/777676339027439_3739367719524938/777676339027439_3739367719524938";"40675";"15070";"2";"777676339027439_3739367719524938";"empty";"";"fetched (200)";"2022-08-05 15:39:38.947575";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3721915924603451";"15071";"12158";"1";"777676339027439_3721915924603451";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-18T01:56:00+0000";"2021-05-18T01:56:02+0000";"CBH Lands සමාගමෙන් විකිණෙන ඉඩම්:  1. සියළු රාජ්‍ය අනුමැති සහිතය්. 2. නිර්දේශයන්ට අනුකූලව ජලය සපයා දී ඇත. 3. ලංකා විදුලිබල මණ්ඩලයට අනුකූලව විදුලිය සපයා දී ඇත. 4. නිර්දේශයන්ට අනුකූලව මාර්ග, කණු පද්ධති සහ යටිතල පහසුකම් සකසා ඇත.  එම නිසා CBH Lands වෙතින්  ඔබට නිරවුල් ඔප්පු සහිත, අවශ්‍ය විටෙක බැංකු ණය සඳහා යොදා ගත හැකි ඉඩම් කොටසක් ලැබෙන බවට අප සහතික වන්නෙමු. . . . #cbhlands #kurunegala #landsale #srilanka #realestate #kurunegalalandsale #kurunegalarealestate";"";"0";"11";"10";"1";"0";"0";"0";"0"
"CBHLands/777676339027439_3721915924603451/777676339027439_3721915924603451";"40676";"15071";"2";"777676339027439_3721915924603451";"empty";"";"fetched (200)";"2022-08-05 15:39:39.577865";"Facebook:/<post-id>/comments";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"CBHLands/777676339027439_3671148053013572";"15072";"12158";"1";"777676339027439_3671148053013572";"data";"data.*";"fetched (200)";"2022-08-05 14:54:45.824027";"Facebook:/<page-id>/posts";"777676339027439";"CBH Lands";"2021-05-17T02:37:01+0000";"2021-05-17T02:37:04+0000";"ඉතිරීම්  ගිණුම් / ස්ථාවර තැන්පතුවල මුදල් දැමීමෙන් පමණක් ඔබට ධනවත් විය හැකිද? අවදානම් රහිත ආයෝජන ක්‍රම ගැන ඔබ හිතා බලන කෙනෙක්ද? ඉඩමකට ආයෝජනය කරන්න කැමති නම් අපෙන් ඒ ගැන අසන්න! . . . #rich #money #wealth #investment #invest #propertyinvestment #property #buyland #landsale #landforsale #kurunegala #realestate #cbhlands #ceylonbrandhouse #save #interest #income #asset #SavingAccount #FixedDeposit";"";"0";"6";"6";"0";"0";"0";"0";"0"
