post_id,company,created_time,updated_time,message,shares_count,comments_count,reactions_count,like_count,love_count,haha_count,wow_count,sad_count,angry_count
828739300530904_5262897463781710,Home Lands,2021-03-29T07:03:59+0000,2021-04-11T07:07:42+0000,Home Lands Skyline is proud to introduce Santorini Resort Apartments and Residencies -  Negombo: Sri Lanka’s first Theme Park Styled Resort Apartments and Residencies structurally and exquisitely designed with Greek styled architecture and 50+ facilities which include: -        9 theme parks -        Coffee shop -        Supermarket -        Food court  -        On call ambulance -        Children’s play area and many more! Apartments starting from LKR 9.8 million upwards. Call us now on 070 6 252 252  for more information.  www.homelandsskyline.lk,,1,29,26,3,0,0,0,0
828739300530904_5248654205206036,Home Lands,2021-03-27T02:30:01+0000,2021-03-27T02:30:05+0000,Today is the day...!!!,2,0,21,21,0,0,0,0,0
828739300530904_5174316339306490,Home Lands,2021-03-27T00:56:00+0000,2021-03-27T00:56:03+0000,Welcome to Your New Home Resort Apartments In MALABE CHANDRIKA KUMARATHUNGA MAWATHA More Details - 071 1 777 999 Facilities _ Pool _ Gym _ Tennis Court _ Basket Ball Court _ Spa _ Salon _ Restaurant _ Mini Market _ Party Lawn _ ATM _ & Many More...  Common Features __ Situated Inside The IT Zone __ Malabe Areas Land Value Appreciation Calculated At 300% In 5 Years. – JLL Sri Lanka __ Walking Distance To Proposed LRT System __ Walking Distance To Outer Circular Expressway __ Walking Distance To Dr. Nevil Fernando Hospital __ Walking Distance To CINEC And Horizon International School  Interest Free Payment Plan Price Starting From 11.5M Loan Facility Can Be Arranged Up To 80% More Details - 071 1 777 999 Interest-Free Payment PlanApartment #lka #SriLanka,2,0,21,21,0,0,0,0,0
828739300530904_5248253515246105,Home Lands,2021-03-26T03:02:47+0000,2021-03-26T03:02:47+0000,1 Day More to The Grand launch of Santorini Resort Apartments and Residencies -  Negombo Sri Lanka’s first Theme Park Styled Resort Apartments and Residencies,2,0,14,13,0,1,0,0,0
828739300530904_5245486925522764,Home Lands,2021-03-25T14:02:37+0000,2021-03-25T14:02:37+0000,2 Days More to The Grand launch of Santorini Resort Apartments and Residencies -  Negombo  Sri Lanka’s first Theme Park Styled Resort Apartments and Residencies,1,0,10,10,0,0,0,0,0
828739300530904_5174313309306793,Home Lands,2021-03-24T05:55:00+0000,2021-07-18T06:01:26+0000,Welcome to Your New Home Resort Apartments In MALABE CHANDRIKA KUMARATHUNGA MAWATHA More Details - 071 1 777 999 Facilities _ Pool _ Gym _ Tennis Court _ Basket Ball Court _ Spa _ Salon _ Restaurant _ Mini Market _ Party Lawn _ ATM _ & Many More...  Common Features __ Situated Inside The IT Zone __ Malabe Areas Land Value Appreciation Calculated At 300% In 5 Years. – JLL Sri Lanka __ Walking Distance To Proposed LRT System __ Walking Distance To Outer Circular Expressway __ Walking Distance To Dr. Nevil Fernando Hospital __ Walking Distance To CINEC And Horizon International School  Interest Free Payment Plan Price Starting From 11.5M Loan Facility Can Be Arranged Up To 80% More Details - 071 1 777 999 #apartment #malabe #ResortApartment #lka #SriLanka,2,8,21,21,0,0,0,0,0
828739300530904_5231187063619417,Home Lands,2021-03-22T10:38:59+0000,2021-05-04T16:18:32+0000,Home Lands Skyline is proud to introduce Santorini Resort Apartments and Residencies -  Negombo: Sri Lanka’s first Theme Park Styled Resort Apartments and Residencies structurally and exquisitely designed with Greek styled architecture and 50+ facilities which include: -        9 theme parks -        Coffee shop -        Supermarket -        Food court  -        On call ambulance -        Children’s play area and many more! Apartments starting from LKR 9.8 million upwards. Call us now on 070 6 252 252  for more information.  www.homelandsskyline.lk,4,3,47,43,3,0,1,0,0
828739300530904_5174310945973696,Home Lands,2021-03-21T00:30:01+0000,2021-04-30T05:15:37+0000,Welcome to Your New Home Resort Apartments In MALABE CHANDRIKA KUMARATHUNGA MAWATHA More Details - 071 1 777 999 Facilities _ Pool _ Gym _ Tennis Court _ Basket Ball Court _ Spa _ Salon _ Restaurant _ Mini Market _ Party Lawn _ ATM _ & Many More...  Common Features __ Situated Inside The IT Zone __ Malabe Areas Land Value Appreciation Calculated At 300% In 5 Years. – JLL Sri Lanka __ Walking Distance To Proposed LRT System __ Walking Distance To Outer Circular Expressway __ Walking Distance To Dr. Nevil Fernando Hospital __ Walking Distance To CINEC And Horizon International School  Interest Free Payment Plan Price Starting From 11.5M Loan Facility Can Be Arranged Up To 80% More Details - 071 1 777 999 #apartment #malabe #ResortApartment #lka #SriLanka,5,4,43,41,2,0,0,0,0
828739300530904_5218775271527263,Home Lands,2021-03-19T11:40:01+0000,2021-03-19T23:31:07+0000,Sri Lanka’s first resort apartment complex – “ARIYANA Resort Apartments – Athurugiriya” by Home Lands Skyline was declared open on the 18th of March 2021 at the resort apartment premises.,20,2,55,45,10,0,0,0,0
828739300530904_5218269461577844,Home Lands,2021-03-19T08:50:30+0000,2021-03-20T17:45:35+0000,Sri Lanka’s first resort apartment complex – “ARIYANA Resort Apartments – Athurugiriya” by Home Lands Skyline was declared open on the 18th of March 2021 at the resort apartment premises. Read more about it here:  homelandsskyline.lk/sri-lankas-first-resort-apartment-complex-ariyana-resort-apartments-athurugiriya-by-home-lands-skyline-declared-open/,27,7,138,119,19,0,0,0,0
